Designator,Mid X,Mid Y,Rotation,Layer
C1,113.5,-88.5,90,top
C2,113.5,-93.8,0,top
C3,103,-89.8,180,top
C4,103,-93.3,180,top
C5,96,-84.5,180,top
C6,93.95,-76,180,top
C7,107.5,-80.98,-90,top
C8,103,-75.841176,-90,top
C9,112.5,-76.341176,-90,top
C10,114,-75.841176,-90,top
C11,118.5,-60.841176,0,top
C12,116.5,-58,90,top
C13,102,-55.841176,90,top
C14,98,-61,0,top
C15,98,-62,0,top
C16,93,-62.5,90,top
C17,93,-67.48,90,top
C18,98,-67.5,180,top
C19,98,-68.841176,180,top
C20,98,-70.341176,0,top
C21,98.02,-71.841176,180,top
C22,126,-63.95,-90,top
J1,123.5,-92,180,top
J2,127.23,-69.23,0,top
J3,128,-58,90,top
J4,94.5,-94,0,top
R1,106.5,-95.8,0,top
R2,108.5,-95.8,0,top
R3,107.49,-88.3,180,top
R4,110,-88.3,180,top
U1,108,-65.841176,0,top
U2,106.5,-77.478676,-90,top
U3,96,-80.5,90,top
U4,108.525,-92.175,-90,top
Y1,96.5,-64.85,180,top
